"","lab","max.dist","min.dist","mean.dist","size","mean.cl.sil","mean.sil","method","strategy"
"170",33,19.1659702756353,11.2392960213928,15.5470750744491,20,-0.0362330655270851,-0.0207629388989207,"single","Hierarchical partition"
"171",47,19.1808943764795,12.5075213584563,16.2411891395909,20,-0.0678799539907247,-0.0207629388989207,"single","Hierarchical partition"
"172",46,19.9859080706582,11.2895671224905,15.9354078088618,20,-0.0548155591492581,-0.0207629388989207,"single","Hierarchical partition"
"173",35,19.6390301999783,11.2501270865552,15.72474336949,20,-0.0273921562682922,-0.0207629388989207,"single","Hierarchical partition"
"174",5,18.3235471374987,7.95453629990151,14.0130639281795,20,0.0500790696922616,-0.0207629388989207,"single","Hierarchical partition"
"175",39,19.6175390972211,11.0620392801492,15.8356044065312,20,-0.066224641141686,-0.0207629388989207,"single","Hierarchical partition"
"176",7,18.4053652244922,10.0552339247873,14.3803993688786,20,0.0115751459855006,-0.0207629388989207,"single","Hierarchical partition"
"177",13,18.6608978212268,10.9276973876903,14.8332390369506,20,-0.00427610651751233,-0.0207629388989207,"single","Hierarchical partition"
"178",24,19.0964862817688,10.5030331216102,15.3710308639242,20,-0.0397015575665582,-0.0207629388989207,"single","Hierarchical partition"
"179",3,17.8569221048239,7.13473240979121,14.2208926322776,20,0.00352284081760931,-0.0207629388989207,"single","Hierarchical partition"
"180",12,18.6962650934798,10.3806565411127,14.4327917188264,20,0.0199614590516521,-0.0207629388989207,"single","Hierarchical partition"
"181",6,18.0485178399524,10.1331504065389,14.6505647565202,20,-0.0184696338033051,-0.0207629388989207,"single","Hierarchical partition"
"182",1,17.3986207613807,9.4223006198744,13.3403943526815,20,0.0599084680674033,-0.0207629388989207,"single","Hierarchical partition"
"183",4,17.885338150991,9.22702325672519,14.1892575557308,20,0.0106263131726597,-0.0207629388989207,"single","Hierarchical partition"
"184",20,18.1199847724909,10.8995027917358,14.8563750627656,20,0.0184615735886648,-0.0207629388989207,"single","Hierarchical partition"
"185",14,19.2544942526188,10.1237908605632,15.1159135429422,20,-0.0154114739125562,-0.0207629388989207,"single","Hierarchical partition"
"186",40,19.6431749719106,11.6395728063313,16.0730519855031,20,-0.0459363303665994,-0.0207629388989207,"single","Hierarchical partition"
"187",31,19.6573668578498,10.7639174777429,15.7602872040261,20,-0.0454643022684149,-0.0207629388989207,"single","Hierarchical partition"
"188",26,18.5633566671236,10.8799236192016,15.1071058541606,20,-0.0194856907291427,-0.0207629388989207,"single","Hierarchical partition"
"189",25,18.4007041444354,11.4131674613619,15.3245595520107,19,-0.0348881901621898,-0.0207629388989207,"single","Hierarchical partition"
"190",36,19.0773114948012,11.5181022115242,15.4699948492007,20,-0.0152933954519333,-0.0207629388989207,"single","Hierarchical partition"
"191",29,17.8555212458395,10.2832319863036,15.0449300610111,20,-0.0047598226553121,-0.0207629388989207,"single","Hierarchical partition"
"192",37,19.0276036284719,10.6537273025126,15.7005029103064,20,-0.035054299189787,-0.0207629388989207,"single","Hierarchical partition"
"193",49,19.6207412376981,12.9596331602898,16.3739011208343,20,-0.0750331546669533,-0.0207629388989207,"single","Hierarchical partition"
"194",41,19.759783578984,11.0517977161509,15.4549640784722,20,-0.0648761833621186,-0.0207629388989207,"single","Hierarchical partition"
"195",19,18.2768331977074,9.91118490856877,14.6642321690082,20,0.0038474910502083,-0.0207629388989207,"single","Hierarchical partition"
"196",22,18.3067277055803,10.7276733782974,14.9798535793502,20,0.00196580662408109,-0.0207629388989207,"single","Hierarchical partition"
"197",23,18.7137776804538,10.6176210331061,15.1268404767902,20,-0.0281522697402229,-0.0207629388989207,"single","Hierarchical partition"
"198",48,20.6223961884823,13.5130780235634,16.4016758632673,20,-0.0763658397465166,-0.0207629388989207,"single","Hierarchical partition"
"199",45,19.9435648893667,11.6483860820827,16.0403931576307,20,-0.0593467835790124,-0.0207629388989207,"single","Hierarchical partition"
"200",8,19.3291644430199,9.77525791355125,14.663186030418,20,-0.0144694819181218,-0.0207629388989207,"single","Hierarchical partition"
"201",31,18.1900222324573,12.2392784965451,15.4276001624254,20,-0.0137586436356135,-0.0201496103960155,"random","Kmeans partition"
"202",42,18.7310805594592,11.2756946322876,15.1962907738373,20,-0.00144109657176519,-0.0201496103960155,"random","Kmeans partition"
"203",48,18.1236821651771,11.0152156492507,15.5574193543162,20,-0.0188013328874904,-0.0201496103960155,"random","Kmeans partition"
"204",32,18.4599846705847,11.7316487256661,15.7471775212416,20,-0.0456737617185982,-0.0201496103960155,"random","Kmeans partition"
"205",4,19.1029677492174,12.3848677073616,15.875449047501,20,-0.0427293672018347,-0.0201496103960155,"random","Kmeans partition"
"206",25,18.1715886299993,10.9161117593438,15.6137169559924,20,-0.0290244520194556,-0.0201496103960155,"random","Kmeans partition"
"207",13,18.1614954210445,11.0906288341934,15.4636213531491,20,-0.0106169241592174,-0.0201496103960155,"random","Kmeans partition"
"208",14,19.0122446330862,10.8675302788996,15.7425234390241,20,-0.0224099073676764,-0.0201496103960155,"random","Kmeans partition"
"209",26,17.9532916081089,11.6759536480872,15.096757579928,20,-0.00607035380745321,-0.0201496103960155,"random","Kmeans partition"
"210",47,18.7474421500439,11.8991893438708,15.7208547124252,20,-0.040841666587415,-0.0201496103960155,"random","Kmeans partition"
"211",40,18.7266341498787,10.9695445988224,15.4275648520551,20,-0.0185551527745016,-0.0201496103960155,"random","Kmeans partition"
"212",30,19.5280569276352,12.4111188070839,15.7892679140587,20,-0.0523865120565669,-0.0201496103960155,"random","Kmeans partition"
"213",41,18.5155411306738,10.7432048818897,15.4129516258361,20,-0.0069114206467994,-0.0201496103960155,"random","Kmeans partition"
"214",28,18.7299740608903,12.1059222852351,15.5952162968245,20,-0.0331871606326682,-0.0201496103960155,"random","Kmeans partition"
"215",11,18.1880244179801,12.2091446049702,15.4569860001696,20,-0.0179195598326227,-0.0201496103960155,"random","Kmeans partition"
"216",46,18.3719200893221,11.8840363726126,15.4742429620151,20,-0.0375221027924043,-0.0201496103960155,"random","Kmeans partition"
"217",3,18.8556896659051,10.9230436776444,15.2275250396002,20,-0.0163758960261951,-0.0201496103960155,"random","Kmeans partition"
"218",24,18.8284995003241,11.3408253529987,15.8328982353681,20,-0.051350385062257,-0.0201496103960155,"random","Kmeans partition"
"219",12,18.9737269695289,11.8383017167879,15.755731697594,20,-0.0275966192998569,-0.0201496103960155,"random","Kmeans partition"
"220",45,19.0478713935321,12.1784909848935,15.5732011150453,20,-0.0286351914937882,-0.0201496103960155,"random","Kmeans partition"
"221",6,19.3278589545862,11.5267711085376,15.4106669328402,20,-0.0177054067001439,-0.0201496103960155,"random","Kmeans partition"
"222",10,19.6573668578498,12.6632881657329,15.7826532128306,19,-0.0379560940465007,-0.0201496103960155,"random","Kmeans partition"
"223",2,17.9846322426117,11.9002604209049,15.2120414136736,20,-0.00584442444669274,-0.0201496103960155,"random","Kmeans partition"
"224",43,18.2251329207392,9.21028325302952,15.2982648213926,20,-0.0173978062707412,-0.0201496103960155,"random","Kmeans partition"
"225",36,18.3603208319914,11.8336469891016,15.2240169635028,20,-0.00568282691223505,-0.0201496103960155,"random","Kmeans partition"
"226",17,18.1693978936788,7.13473240979121,15.3381950252332,20,-0.0141799003136302,-0.0201496103960155,"random","Kmeans partition"
"227",29,18.8054990069424,11.7359579120582,15.3935563295047,20,-0.00834439570249828,-0.0201496103960155,"random","Kmeans partition"
